feature,gain_importance
quantitative_aptitude_score,0.1084824
aptitude_index,0.07833591
cgpa,0.06526408
aptitude_score,0.050567176
communication_index,0.047121547
academic_index,0.041536346
interview_score,0.03547317
open_source_contributions,0.033892587
overall_readiness_index,0.025943268
twelfth_percentage,0.024359146
logical_aptitude_score,0.020910008
target_role_Full Stack Developer,0.019705774
fw_spring_boot,0.018080417
practical_experience_index,0.017827874
tech_society_participation,0.016778868
react_skill,0.016746558
projects_count,0.015372589
fw_pandas,0.015233405
num_frameworks,0.015213291
presentation_score,0.015075087
target_role_QA Engineer,0.015007111
coding_score,0.0142598525
technical_skill_index,0.013734143
department_IT,0.013244324
hackathons_participated,0.012935873
department_CSE,0.012878463
extracurricular_index,0.0126131065
lang_java,0.012121856
internships_count,0.012120003
semester,0.012062862
python_skill,0.0119247055
leadership_roles,0.011533321
sql_skill,0.011291743
project_complexity,0.010878309
department_EEE,0.01061339
java_skill,0.010604999
aws_skill,0.010424554
verbal_fluency_score,0.010310915
tenth_percentage,0.01031074
dsa_skill,0.01026857
lang_ccpp,0.009873288
cert_sql,0.009554401
certifications_count,0.009503714
communication_score,0.009276634
backlogs,0.008633379
department_AI&DS,0.008571303
num_prog_languages,0.0064417087
cert_python,0.006324514
target_role_Data Analyst,0.006243272
num_verified_certs,0.0045194114
department_Mechanical,0.0
department_ECE,0.0
target_role_DevOps Engineer,0.0
lang_python,0.0
fw_react,0.0
cert_web,0.0
fw_git,0.0
cert_dsa,0.0
cert_cloud,0.0
fw_aws,0.0
