feature,importance
quantitative_aptitude_score,0.09255578
aptitude_index,0.07158371
aptitude_score,0.04485578
cgpa,0.03970942
academic_index,0.0324986
open_source_contributions,0.031449802
communication_index,0.03134756
lang_java,0.025688501
lang_ccpp,0.022379715
practical_experience_index,0.021355618
fw_pandas,0.020802716
technical_skill_index,0.020058187
twelfth_percentage,0.01987986
department_EEE,0.019311748
department_IT,0.018253649
num_prog_languages,0.018245485
interview_score,0.018003652
department_ECE,0.017632212
target_role_Full Stack Developer,0.017365584
presentation_score,0.017120002
react_skill,0.016334303
target_role_QA Engineer,0.01630953
num_frameworks,0.016256895
logical_aptitude_score,0.01585611
python_skill,0.015748331
extracurricular_index,0.015244202
semester,0.015038203
project_complexity,0.01495862
verbal_fluency_score,0.014394865
hackathons_participated,0.0143932
projects_count,0.014359948
aws_skill,0.014149009
department_CSE,0.014125859
sql_skill,0.0136873815
leadership_roles,0.0130417375
fw_spring_boot,0.013000267
java_skill,0.012856434
internships_count,0.012840738
coding_score,0.012783666
department_AI&DS,0.012412436
num_verified_certs,0.011179097
cert_sql,0.011136354
dsa_skill,0.011064087
tenth_percentage,0.010861146
certifications_count,0.010640723
cert_cloud,0.0101453
communication_score,0.010005208
cert_python,0.009895418
tech_society_participation,0.009447629
backlogs,0.0076957596
target_role_Data Analyst,0.0054223505
fw_git,0.0046176
target_role_DevOps Engineer,0.0
department_Mechanical,0.0
lang_python,0.0
fw_react,0.0
fw_aws,0.0
cert_dsa,0.0
cert_web,0.0
